service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1757,1,1,1,1,0,0,0,20150823,20151219
1843,1,1,1,1,1,0,0,20150823,20151223
1844,0,0,0,0,0,1,0,20150823,20151231
1845,0,0,0,0,0,0,0,20140830,20141004
1846,1,1,1,1,1,0,0,20150823,20151231
1847,0,0,0,0,0,1,0,20150823,20151231
1848,1,1,1,1,1,0,0,20150823,20151231
1849,0,0,0,0,0,1,0,20150823,20151231
1850,1,1,1,1,1,0,0,20150823,20151231
1851,1,1,1,1,1,0,0,20150823,20151231
1852,0,0,0,0,0,1,0,20150823,20151231
1853,0,0,0,0,0,1,0,20150823,20151231
1854,1,1,1,1,1,0,0,20150823,20151231
1856,1,1,1,1,1,0,0,20150823,20151231
1857,1,1,1,1,1,0,0,20150823,20151231
1859,0,0,0,0,0,1,0,20150823,20151231
1861,0,0,0,0,0,1,0,20150823,20151231
1862,1,1,1,1,1,0,0,20150823,20151231
1863,1,1,1,1,1,0,0,20150823,20151231
1864,0,0,0,0,0,1,0,20150823,20151231
1865,1,1,1,1,1,0,0,20150823,20151231
1866,0,0,0,0,0,1,0,20150823,20151231
1867,1,1,1,1,1,1,0,20150823,20151231
1868,1,1,1,1,0,0,0,20150822,20151219
1869,0,0,0,0,1,0,0,20150823,20151219
1870,0,0,0,0,0,1,0,20150825,20151219
1871,0,0,0,0,0,0,1,20150823,20151219
1873,1,1,1,1,0,0,0,20150823,20151219
1874,0,0,0,0,1,0,0,20150823,20151219
1875,0,0,0,0,1,1,0,20150823,20151219
1876,0,0,0,0,1,0,0,20150823,20151219
1877,0,0,0,1,0,0,0,20150823,20151219
1878,0,0,0,0,1,0,0,20150823,20151219
1879,0,0,0,0,0,1,0,20150823,20151219
1880,0,0,0,0,0,0,1,20150823,20151219
1883,1,1,1,1,1,0,0,20150823,20151219
1888,0,0,0,0,1,1,0,20150824,20151209
1891,1,1,1,0,0,0,0,20150823,20151219
1892,1,1,1,1,1,0,0,20150824,20151231
