stop_desc,stop_lat,stop_name,stop_lon,stop_id
This stop is located on the south side of W Kirkwood Ave. at the southeast corner of the intersection with S Maple St. serving inbound travel.,39.166592,Kirkwood  & Maple ,-86.542137,45121
This stop is located on the south side of W Kirkwood Ave. just east of the intersection with S Jackson St. serving inbound travel.,39.16655,Kirkwood  & Jackson ,-86.539642,45122
This stop is a shelter located on the south side of W 3rd St. just east of the intersection with S Cory Ln..,39.164307,3rd  & Cory ,-86.55983,45123
This stop is a shelter located on the south side of W 3rd St. east of the intersection with S Landmark Ave. serving inbound travel.,39.164318,3rd  & Landmark  ,-86.55542,45124
This stop is located on the east side of S Adams St. at the southeast corner of the intersection with W Kirkwood Ave. at the stoplight serving inbound travel.,39.166538,Adams  & Kirkwood ,-86.549377,45125
This stop is located on the south side of W Kirkwood Ave. just east of the intersection with S Elm St. serving inbound travel.,39.166595,Kirkwood  & Elm ,-86.544998,45126
This stop is located on the west side of S Rogers St. south of the intersection with W 3rd St. serving outbound travel.,39.164177,Rogers  & 3rd ,-86.538719,45127
This stop is located on the north side of E 3rd St. at the northeast corner of the intersection with S Meadowbrook Dr. serving inbound travel. There is no sign for the stop. ,39.164349,3rd  & Meadowbrook ,-86.484238,45128
This stop is located on the west side of S Gates Dr. at the southwest corner of the intersection with W Runkles Way in Whitehall Crossing.  This is the fourth of four stops in Whitehall Crossing.,39.166267,Gates  &  Runkle Way,-86.576096,45129
This stop is located near the north entrance to Whitehall Plaza on the west side of the main drive near the Hardees Restaurant. This is the first of three outbound stops in Whitehall Plaza.,39.163754,Whitehall Plaza North,-86.576309,45130
This stop is located on the south side of W Jacobs Dr. west of the intersection with S Gates Dr. in front of the Wendy's Restaurant. This is the first of four stops in Whitehall Crossing.,39.165497,Whitehall Crossing @ Wendees,-86.575058,45131
This stop is a shelter located on the north side of W Alexander Dr. west of the intersection with S Gates Dr. at the south entrance to Lowes parking lot. This is the thrid of four stops in Whitehall Crossing.,39.168831,Whitehall Crossing @ Lowes (Outbound),-86.575096,45132
This stop is located on the north side of W 3rd St. at the northeast corner of the intersection with S Johnson Ave. serving outbound travel.,39.164593,3rd  & Johnson ,-86.564911,45133
This stop is located on the north side of W 3rd St. at the northeast corner of the intersection with S Kimble Dr. serving outbound travel.,39.164585,3rd  & Kimble ,-86.567825,45134
This stop is located on the north side of W 3rd St. at the northeast corner of the intersection with S Cory Ln..,39.164509,3rd  & Cory ,-86.560059,45135
This stop is located on the north side of W 3rd St. at the northeast corner of the intersection with S Westplex Ave..,39.164513,3rd  & Westplex  ,-86.553734,45136
This stop is located on the north side of W 3rd St. east of the intersection with S Landmark Ave. in front of Kirby Risk serving outbound travel.,39.164528,3rd  & Landmark ,-86.555389,45137
"This stop is located on the west side of S Kingston Dr. north of the intersection with E 3rd St. at the south end of Town and Country Apartments serving  inbound (3L), westbound (6), and southbound (8) travel.",39.164799,Kingston  & 3rd ,-86.49308,45138
This stop is located on the south side of E Longview Ave. at the southwest corner of the intersection with S Pete Kingston Dr..,39.166843,Longview  & Kingston ,-86.492867,45139
This stop is located on the east side of S Rogers St. at the southeast corner of the intersection with W Wylie St. serving inbound travel.,39.158382,Rogers  & Wylie  ,-86.538597,45140
This stop is located on the east side of S Rogers St. at the southeast corner of the intersection with W 1st St. serving inbound travel.,39.159332,Rogers  & 1st ,-86.538597,45141
This stop is located on the north side of W 17th St. at the northwest corner of the intersection with N Kinser Pike.,39.1791,17th  & Kinser Pike,-86.537636,45142
This stop is located on the south side of E Kirkwood Ave. at the southwest corner of the intersecition with N Dunn St. in front of the Dunnkirk Square Shops serving outbound travel.,39.16647,Kirkwood  & Dunn @ Dunkirk,-86.528404,45143
This stop is a shelter located on the east side N Kinser Pike across from the east entrance of the Colonial Crest Apartments Complex.,39.182194,Kinser Pike @ Colonial Crest ,-86.537651,45144
This stop is located on the north side of E 7th St. at the northeast intersection with N Washington St. serving westbound travel.,39.168617,7th  & Washington ,-86.532227,45145
This stop is located on the east side of N Walnut St. at the southeast corner of the intersection with W 11th St..,39.173168,Walnut  & 11th ,-86.533501,45146
This stop is located on the north side of E 7th St. just east of intersection with N Walnut St. next to Scotty's Brewhouse.,39.168633,7th  & Walnut ,-86.533279,45147
This stop is located on the west side of S Washington St. at the northwest corner of the intersection with E 2nd St..,39.161453,Washington  & 2nd ,-86.532486,45148
This stop is located on the west side of S Washington St. at the northwest corner of the intersection with E 1st St..,39.159439,Washington  & 1st ,-86.532463,45149
This stop is located on the west side of S Washington St. at the northwest corner of the intersection with E Dodds St..,39.15744,Washington  & Dodds ,-86.532471,45151
This stop is located on the west side of S Washington St. at the northwest corner of the intersection with E Allen St..,39.155666,Washington  & Allen,-86.532509,45152
This stop is located on the south side of E Grimes Ln. east of the intersection with S Washington St. serving outbound travel.,39.153316,Grimes  & Washington ,-86.532211,45153
This stop is located on the south side of E Grimes Ln. at the southwest corner of the intersection with S Palmer Ave. serving outbound travel.,39.153271,Grimes  & Palmer ,-86.529266,45154
