route_long_name,route_color,route_id,route_url,route_desc,route_short_name,route_type,route_text_color
7,E6C800,1757,,"Route 7 is the best way to the 3rd Street area of campus if you live along S. Henderson Street in apartment complexes such as Hoosier Court at Henderson, Summit Pointe, Timber Ride, or Brandon Court.  This is also a great way to get from the Winslow Farms area to campus and downtown.  Frequency of this route is every 15-20 minutes, Monday through Friday, during the IU fall and spring semesters.  After 7:30 p.m. each weeknight, the service runs every 30 minutes.   Hours of operation are from approximately 7:00 a.m. to 9:30 p.m.",7,3,000000
1,ED1C24,1843,,"Route 1 North serves Kinser Pike as far as Meadows Hospital, Fritz Terrace, and much of N. College and N. Walnut. It serves much of Fee Lane and goes past the Stadium on the way to campus It connects Brownstone Apartments to places like the Kelley School of Business, the Wells Library, and other locations on 10th Street west of Jordan. This bus runs every 60 minutes, Monday through Saturday. Route 1 South provides service to the southwest corner of campus near the Law School, Sample Gates, and Bryan Hall from the south side of Bloomington including streets like Washington Street (south of 3rd), Henderson Street (south of Grimes Ln), and apartment complexes such as Barclay Square, Brandon Court,  Sassafras, Summit Pointe, Timber Ridge, Winslow Ridge, and Walnut Woods. This route also serves the Clear Creek Shopping Center at S.Walnut and Rhorer Road. This bus runs every 30-60 minutes, Monday through Friday, and every 60 minutes on Saturday.",1,3,FFFFFF
1,ED1C24,1844,,"Route 1 North serves Kinser Pike as far as Meadows Hospital, Fritz Terrace, and much of N. College and N. Walnut. It serves much of Fee Lane and goes past the Stadium on the way to campus It connects Brownstone Apartments to places like the Kelley School of Business, the Wells Library, and other locations on 10th Street west of Jordan. This bus runs every 60 minutes, Monday through Saturday. Route 1 South provides service to the southwest corner of campus near the Law School, Sample Gates, and Bryan Hall from the south side of Bloomington including streets like Washington Street (south of 3rd), Henderson Street (south of Grimes Ln), and apartment complexes such as Barclay Square, Brandon Court, Sassafras, Summit Pointe, Timber Ridge, Winslow Ridge, and Walnut Woods. This route also serves the Clear Creek Shopping Center at S.Walnut and Rhorer Road. This bus runs every 30-60 minutes, Monday through Friday, and every 60 minutes on Saturday.",1,3,FFFFFF
1,ED1C24,1845,,"Route 1 North serves Kinser Pike as far as Meadows Hospital, Fritz Terrace, and much of N. College and N. Walnut. It serves much of Fee Lane and goes past the Stadium on the way to campus It connects Brownstone Apartments to places like the Kelley School of Business, the IU Library, and other locations on 10th Street west of Jordan.  This bus runs every 60 minutes, Monday through Saturday.  Route 1 South provides service to the southwest corner of campus near the Law School, Sample Gates, and Bryan Hall from the south side of Bloomington including streets like Washington Street (south of 3rd), Henderson Street (south of Grimes Ln), and apartment complexes such as Barclay Square, Brandon Court,  Sassafras, Summit Pointe, Timber Ridge, Winslow Ridge, and Walnut Woods.  This route also serves the Clear Creek Shopping Center at S.Walnut and Rhorer Road.  This bus runs every 30-60 minutes, Monday through Friday, and every 60 minutes on Saturday.",1,3,FFFFFF
1,ED1C24,1846,,"Route 1 North serves Kinser Pike as far as Meadows Hospital, Fritz Terrace, and much of N. College and N. Walnut. It serves much of Fee Lane and goes past the Stadium on the way to campus It connects Brownstone Apartments to places like the Kelley School of Business, the IU Library, and other locations on 10th Street west of Jordan. This bus runs every 60 minutes, Monday through Saturday. Route 1 South provides service to the southwest corner of campus near the Law School, Sample Gates, and Bryan Hall from the south side of Bloomington including streets like Washington Street (south of 3rd), Henderson Street (south of Grimes Ln), and apartment complexes such as Barclay Square, Brandon Court, Sassafras, Summit Pointe, Timber Ridge, Winslow Ridge, and Walnut Woods. This route also serves the Clear Creek Shopping Center at S.Walnut and Rhorer Road. This bus runs every 30-60 minutes, Monday through Friday, and every 60 minutes on Saturday.",1,3,FFFFFF
1,ED1C24,1847,,"Route 1 North serves Kinser Pike as far as Meadows Hospital, Fritz Terrace, and much of N. College and N. Walnut. It serves much of Fee Lane and goes past the Stadium on the way to campus It connects Brownstone Apartments to places like the Kelley School of Business, the IU Library, and other locations on 10th Street west of Jordan.  This bus runs every 60 minutes, Monday through Saturday.  Route 1 South provides service to the southwest corner of campus near the Law School, Sample Gates, and Bryan Hall from the south side of Bloomington including streets like Washington Street (south of 3rd), Henderson Street (south of Grimes Ln), and apartment complexes such as Barclay Square, Brandon Court,  Sassafras, Summit Pointe, Timber Ridge, Winslow Ridge, and Walnut Woods.  This route also serves the Clear Creek Shopping Center at S.Walnut and Rhorer Road.  This bus runs every 30-60 minutes, Monday through Friday, and every 60 minutes on Saturday.",1,3,FFFFFF
2,2E3192,1848,,"Route 2 West serves the Arlington Park Apartments as well as the Crestmont Park area, parts of Maple Street, Rogers Street, and Morton Street.  This route goes to downtown with no direct service to campus, however, you can transfer to other campus-bound routes at our 4th and Washington passenger facility.  This bus runs every 30 minutes, Monday through Friday.  This bus runs every 60 minutes on Saturday.  Route 2 South serves the Seminary Square shopping center, Bloomington Hospital, the South Rogers Street area, Countryview Apartments, and parts of Rockport Road and Graham Drive.  No direct service to campus is available on this route, however, you can transfer to other campus-bound routes at our 4th and Washington passenger facility.  This bus runs every 30 minutes, Monday through Friday.  Runs every 60 minutes on Saturday. ",2,3,FFFFFF
2,2E3192,1849,,"Route 2 West serves the Arlington Park Apartments as well as the Crestmont Park area, parts of Maple Street, Rogers Street, and Morton Street.  This route goes to downtown with no direct service to campus, however, you can transfer to other campus-bound routes at our 4th and Washington passenger facility.  This bus runs every 30 minutes, Monday through Friday.  This bus runs every 60 minutes on Saturday.  Route 2 South serves the Seminary Square shopping center, Bloomington Hospital, the South Rogers Street area, Countryview Apartments, and parts of Rockport Road and Graham Drive.  No direct service to campus is available on this route, however, you can transfer to other campus-bound routes at our 4th and Washington passenger facility.  This bus runs every 30 minutes, Monday through Friday.  Runs every 60 minutes on Saturday. ",2,3,FFFFFF
3,006633,1850,,"Route 3 East provides great service to the south side of campus along E. 3rd Street from places like Campus Corner apartments, Covenanter Gardens, the Woods at Latimer, and Hunter Ridge apartments. This route also provides great service from downtown and campus to the College Mall as well as Eastland Plaza and Jackson Creek shopping centers and K Mart east. This bus runs every 30 minutes, Monday through Saturday. Route 3 West serves the West Kirkwood and West 3rd Street areas including Whitehall Crossing shopping center (Old Navy, TJ Maxx, Lowe's), K Mart west, Sam's Club (on request only), Aldi's and Walmart.  Also serves the Highland Village area and the Kirkwood apartments and parts of Curry Pike and Liberty Drive. This bus runs every 30 minutes, Monday through Friday.  Runs every 60 minutes on Saturday. Inbound service does not go to Whitewall Crossing Shopping Center from 2 - 6 pm on Weekdays.",3,3,FFFFFF
2,2E3192,1851,,"Route 2 West serves the Arlington Park Apartments as well as the Crestmont Park area, parts of Maple Street, Rogers Street, and Morton Street.  This route goes to downtown with no direct service to campus, however, you can transfer to other campus-bound routes at our 4th and Washington passenger facility.  This bus runs every 30 minutes, Monday through Friday.  This bus runs every 60 minutes on Saturday.  Route 2 South serves the Seminary Square shopping center, Bloomington Hospital, the South Rogers Street area, Countryview Apartments, and parts of Rockport Road and Graham Drive.  No direct service to campus is available on this route, however, you can transfer to other campus-bound routes at our 4th and Washington passenger facility.  This bus runs every 30 minutes, Monday through Friday.  Runs every 60 minutes on Saturday. ",2,3,FFFFFF
